,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
740,Dingle,36,PH,1504760135,91,11.0,122.67,83.07,3.06
741,Olho d’Agua,20,BR,1504760135,91,-2.88,-39.95,75.14,11.45
742,Turku,24,FI,1504758000,87,60.45,22.27,46.4,8.05
743,Paamiut,76,GL,1504760135,98,61.99,-49.67,39.87,1.5
744,Khed Brahma,0,IN,1504760136,88,24.03,73.05,82.88,4.63
745,Luderitz,0,NA,1504756800,100,-26.65,15.16,44.6,1.12
746,Pacov,0,CZ,1504756800,71,49.47,15.0,53.6,12.75
747,Portree,88,GB,1504760137,100,57.41,-6.19,54.35,14.25
748,Iqaluit,75,CA,1504756800,92,63.75,-68.51,37.4,5.75
749,Harper,92,LR,1504760137,100,4.38,-7.72,74.97,12.12
